OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
OD000015,ORD000007,340,1,58.99,58.99
OD000016,ORD000007,446,2,80.0,160.0
OD000017,ORD000007,86,2,60.79,121.58
OD000046,ORD000018,62,2,136.99,273.98
OD000047,ORD000018,530,3,37.49,112.47
OD000048,ORD000018,278,3,11.79,35.37
OD000049,ORD000018,260,3,75.99,227.97
OD000053,ORD000021,656,5,179.99,899.95
OD000054,ORD000021,64,2,142.79,285.58
OD000055,ORD000021,88,9,31.0,279.0
OD000072,ORD000027,92,3,121.49,364.47
OD000073,ORD000028,249,6,120.49,722.94
OD000074,ORD000028,106,6,96.49,578.94
OD000097,ORD000037,326,2,101.79,203.58
OD000099,ORD000039,260,1,75.99,75.99
OD000100,ORD000039,401,2,18.0,36.0
OD000101,ORD000039,694,4,79.99,319.96
OD000127,ORD000048,313,8,137.0,1096.0
OD000128,ORD000048,571,2,10.99,21.98
OD000139,ORD000052,115,8,22.49,179.92
OD000142,ORD000054,290,4,118.0,472.0
OD000143,ORD000054,310,2,87.99,175.98
OD000144,ORD000054,51,4,119.49,477.96
OD000155,ORD000059,499,2,169.79,339.58
OD000171,ORD000065,113,8,53.0,424.0
OD000172,ORD000065,521,5,183.99,919.95
OD000177,ORD000068,32,2,149.0,298.0
OD000178,ORD000068,603,3,128.49,385.47
OD000182,ORD000071,680,3,40.49,121.47
OD000183,ORD000071,502,3,65.79,197.37
OD000191,ORD000075,63,4,158.99,635.96
OD000192,ORD000075,584,4,198.99,795.96
OD000193,ORD000075,420,4,110.49,441.96
OD000194,ORD000075,590,4,153.0,612.0
OD000211,ORD000081,37,3,47.79,143.37
OD000212,ORD000081,65,5,101.99,509.95
OD000213,ORD000081,532,5,101.99,509.95
OD000218,ORD000083,486,3,78.49,235.47
OD000219,ORD000083,158,6,89.49,536.94
OD000236,ORD000089,458,3,86.79,260.37
OD000247,ORD000093,344,4,121.0,484.0
OD000248,ORD000093,369,2,177.79,355.58
OD000249,ORD000094,214,2,98.0,196.0
OD000256,ORD000097,456,4,51.49,205.96
OD000261,ORD000099,288,4,27.0,108.0
OD000262,ORD000099,7,1,76.99,76.99
OD000263,ORD000099,689,5,94.79,473.95
OD000264,ORD000099,223,3,10.79,32.37
OD000277,ORD000103,537,3,90.99,272.97
OD000278,ORD000103,610,3,147.49,442.47
OD000302,ORD000112,796,4,181.0,724.0
OD000303,ORD000112,755,2,59.49,118.98
OD000304,ORD000112,666,8,63.99,511.92
OD000305,ORD000112,670,3,81.79,245.37
OD000319,ORD000117,325,4,22.49,89.96
OD000320,ORD000117,379,3,164.79,494.37
OD000321,ORD000117,43,4,107.99,431.96
OD000322,ORD000117,314,3,17.49,52.47
OD000325,ORD000119,717,4,171.99,687.96
OD000326,ORD000119,182,7,31.99,223.93
OD000348,ORD000127,447,8,78.0,624.0
OD000352,ORD000129,154,12,119.99,1439.88
OD000353,ORD000129,414,8,165.49,1323.92
OD000354,ORD000129,139,13,42.0,546.0
OD000355,ORD000129,13,3,116.49,349.47
