OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
OD000008,ORD000003,147,3,31.79,95.37
OD000009,ORD000003,479,3,83.49,250.47
OD000010,ORD000003,257,3,135.79,407.37
OD000033,ORD000014,687,4,37.79,151.16
OD000034,ORD000014,58,3,72.79,218.37
OD000035,ORD000014,643,5,148.0,740.0
OD000042,ORD000017,266,2,185.0,370.0
OD000043,ORD000017,796,6,181.0,1086.0
OD000044,ORD000017,751,4,43.0,172.0
OD000045,ORD000017,420,3,110.49,331.47
OD000060,ORD000023,515,6,136.49,818.94
OD000061,ORD000023,417,9,77.49,697.41
OD000062,ORD000023,369,4,177.79,711.16
OD000063,ORD000023,740,9,97.79,880.11
OD000075,ORD000029,39,2,100.79,201.58
OD000076,ORD000029,552,10,25.79,257.9
OD000077,ORD000029,777,6,172.79,1036.74
OD000078,ORD000029,18,3,173.79,521.37
OD000080,ORD000031,707,4,19.79,79.16
OD000081,ORD000031,134,3,135.79,407.37
OD000082,ORD000031,781,2,153.79,307.58
OD000083,ORD000032,388,2,149.0,298.0
OD000089,ORD000034,268,10,182.79,1827.9
OD000090,ORD000034,203,10,91.79,917.9
OD000091,ORD000034,334,4,95.99,383.96
OD000092,ORD000034,761,3,80.0,240.0
OD000093,ORD000035,185,4,170.49,681.96
OD000098,ORD000038,612,2,147.99,295.98
OD000102,ORD000040,660,5,114.0,570.0
OD000103,ORD000040,50,4,121.0,484.0
OD000104,ORD000040,156,2,72.99,145.98
OD000107,ORD000042,252,2,88.49,176.98
OD000108,ORD000042,15,8,62.49,499.92
OD000109,ORD000042,542,8,182.49,1459.92
OD000110,ORD000042,731,4,163.79,655.16
OD000119,ORD000046,399,1,154.49,154.49
OD000120,ORD000046,382,2,106.79,213.58
OD000121,ORD000046,138,5,62.0,310.0
OD000129,ORD000049,767,7,124.0,868.0
OD000130,ORD000049,639,4,61.99,247.96
OD000131,ORD000050,608,4,113.79,455.16
OD000132,ORD000050,153,2,132.49,264.98
OD000133,ORD000050,124,2,149.0,298.0
OD000134,ORD000050,537,1,90.99,90.99
OD000140,ORD000053,602,12,146.49,1757.88
OD000141,ORD000053,127,6,91.99,551.94
OD000156,ORD000060,487,3,120.99,362.97
OD000157,ORD000060,562,3,40.99,122.97
OD000158,ORD000060,412,1,128.79,128.79
OD000160,ORD000062,135,2,173.79,347.58
OD000161,ORD000062,295,7,38.0,266.0
OD000162,ORD000062,427,3,19.99,59.97
OD000163,ORD000062,602,4,146.49,585.96
OD000164,ORD000062,636,3,50.0,150.0
OD000185,ORD000073,372,3,23.99,71.97
OD000186,ORD000073,77,8,121.49,971.92
OD000209,ORD000080,104,1,76.49,76.49
OD000210,ORD000080,351,2,156.79,313.58
OD000220,ORD000084,300,1,141.79,141.79
OD000221,ORD000084,339,5,84.49,422.45
OD000227,ORD000086,345,2,119.49,238.98
OD000228,ORD000087,513,12,190.49,2285.88
OD000229,ORD000087,297,6,26.99,161.94
OD000230,ORD000087,47,15,89.99,1349.85
OD000231,ORD000087,218,8,52.79,422.32
OD000237,ORD000090,591,6,45.49,272.94
OD000238,ORD000090,493,5,104.79,523.95
OD000239,ORD000090,30,4,150.0,600.0
OD000255,ORD000096,572,4,169.79,679.16
OD000257,ORD000098,221,2,93.99,187.98
OD000258,ORD000098,89,3,10.49,31.47
OD000259,ORD000098,383,2,185.79,371.58
OD000260,ORD000098,219,4,89.99,359.96
OD000265,ORD000100,413,1,73.99,73.99
OD000266,ORD000100,26,9,122.99,1106.91
OD000282,ORD000106,634,10,154.79,1547.9
OD000283,ORD000106,698,3,91.79,275.37
OD000293,ORD000110,291,3,105.79,317.37
OD000294,ORD000110,78,4,129.99,519.96
OD000295,ORD000110,516,2,67.0,134.0
OD000296,ORD000110,376,3,50.49,151.47
OD000333,ORD000122,237,3,109.0,327.0
OD000334,ORD000122,45,2,82.99,165.98
OD000335,ORD000123,71,3,36.49,109.47
OD000336,ORD000123,672,3,95.79,287.37
OD000337,ORD000123,322,4,178.0,712.0
OD000338,ORD000123,74,3,58.99,176.97
