OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
OD000003,ORD000002,145,2,150.49,300.98
OD000004,ORD000002,155,4,25.79,103.16
OD000005,ORD000002,399,2,154.49,308.98
OD000006,ORD000002,738,5,189.99,949.95
OD000007,ORD000002,283,3,139.79,419.37
OD000018,ORD000008,646,1,181.0,181.0
OD000019,ORD000008,773,3,179.0,537.0
OD000020,ORD000008,37,1,47.79,47.79
OD000021,ORD000008,435,3,24.49,73.47
OD000022,ORD000009,593,3,136.99,410.97
OD000023,ORD000010,99,2,32.79,65.58
OD000024,ORD000010,524,3,41.79,125.37
OD000032,ORD000013,89,2,10.49,20.98
OD000036,ORD000015,289,1,147.99,147.99
OD000037,ORD000016,780,4,22.0,88.0
OD000038,ORD000016,366,3,40.99,122.97
OD000039,ORD000016,298,3,195.79,587.37
OD000040,ORD000016,208,2,49.0,98.0
OD000041,ORD000016,462,4,36.0,144.0
OD000050,ORD000019,699,3,79.49,238.47
OD000051,ORD000020,45,5,82.99,414.95
OD000052,ORD000020,764,9,45.49,409.41
OD000056,ORD000022,191,3,195.99,587.97
OD000057,ORD000022,741,5,120.79,603.95
OD000058,ORD000022,534,2,108.49,216.98
OD000059,ORD000022,192,2,125.0,250.0
OD000068,ORD000025,218,4,52.79,211.16
OD000069,ORD000025,440,2,141.49,282.98
OD000070,ORD000025,40,4,69.0,276.0
OD000084,ORD000033,78,6,129.99,779.94
OD000085,ORD000033,388,2,149.0,298.0
OD000086,ORD000033,27,2,21.49,42.98
OD000087,ORD000033,764,5,45.49,227.45
OD000088,ORD000033,491,2,169.79,339.58
OD000094,ORD000036,703,4,108.79,435.16
OD000095,ORD000036,341,2,66.79,133.58
OD000096,ORD000036,10,1,152.49,152.49
OD000111,ORD000043,315,4,12.49,49.96
OD000112,ORD000043,532,1,101.99,101.99
OD000122,ORD000047,574,7,67.0,469.0
OD000123,ORD000047,173,2,162.99,325.98
OD000124,ORD000047,327,3,29.0,87.0
OD000125,ORD000047,549,1,15.0,15.0
OD000126,ORD000047,213,5,162.0,810.0
OD000151,ORD000057,732,2,21.49,42.98
OD000152,ORD000058,490,5,137.49,687.45
OD000153,ORD000058,394,4,167.79,671.16
OD000154,ORD000058,591,3,45.49,136.47
OD000170,ORD000064,579,3,94.49,283.47
