OrderID,UserID,OrderDate,TotalAmount
ORD000007,USR00002,2020-09-09,340.57
ORD000018,USR00005,2020-06-19,649.79
ORD000021,USR00005,2020-12-06,1464.53
ORD000027,USR00006,2020-08-15,364.47
ORD000028,USR00006,2020-12-20,1301.88
ORD000037,USR00008,2020-12-10,203.58
ORD000039,USR00008,2020-12-12,431.95
ORD000048,USR00009,2020-01-23,1117.98
ORD000052,USR00010,2020-10-18,179.92
ORD000054,USR00010,2020-08-08,1125.94
ORD000059,USR00011,2020-04-14,339.58
ORD000065,USR00013,2020-05-10,1343.95
ORD000068,USR00013,2020-12-26,683.47
ORD000071,USR00014,2020-05-05,318.84
ORD000075,USR00014,2020-04-10,2485.88
ORD000081,USR00016,2020-04-07,1163.27
ORD000083,USR00016,2020-03-03,772.41
ORD000089,USR00017,2020-01-25,260.37
ORD000093,USR00018,2020-02-24,839.58
ORD000094,USR00018,2020-12-30,196.0
ORD000097,USR00018,2020-12-10,205.96
ORD000099,USR00019,2020-01-30,691.31
ORD000103,USR00019,2020-11-22,715.44
ORD000112,USR00020,2020-08-12,1600.27
ORD000117,USR00021,2020-08-10,1068.76
ORD000119,USR00021,2020-11-23,911.89
ORD000127,USR00023,2020-10-15,624.0
ORD000129,USR00023,2020-04-07,3659.27
ORD000132,USR00023,2020-11-25,545.14
ORD000135,USR00024,2020-01-10,777.4
ORD000137,USR00025,2020-01-03,1986.42
ORD000145,USR00026,2020-08-13,1714.18
ORD000147,USR00027,2020-03-04,520.47
ORD000148,USR00028,2020-12-30,2953.47
ORD000149,USR00028,2020-09-20,554.37
ORD000156,USR00030,2020-06-29,2850.34
ORD000158,USR00030,2020-12-07,1550.68
ORD000165,USR00032,2020-09-10,821.48
ORD000167,USR00032,2020-05-19,1366.62
ORD000182,USR00035,2020-07-03,1425.66
ORD000183,USR00036,2020-09-14,360.96
ORD000185,USR00036,2020-05-01,1065.64
ORD000186,USR00036,2020-01-11,1472.87
ORD000190,USR00037,2020-08-17,1687.18
ORD000197,USR00038,2020-04-28,1545.45
ORD000198,USR00038,2020-02-13,1412.91
ORD000200,USR00039,2020-05-27,723.95
ORD000203,USR00040,2020-12-19,140.99
ORD000206,USR00040,2020-09-17,592.0
ORD000208,USR00040,2020-10-05,350.48
ORD000209,USR00040,2020-03-20,404.97
ORD000210,USR00040,2020-02-22,1137.06
ORD000212,USR00041,2020-08-08,1050.94
ORD000215,USR00041,2020-05-22,45.49
ORD000220,USR00042,2020-08-21,1845.44
ORD000221,USR00042,2020-01-27,563.96
ORD000222,USR00042,2020-06-05,3055.12
ORD000228,USR00043,2020-02-25,931.48
ORD000234,USR00044,2020-11-09,803.94
ORD000237,USR00044,2020-12-30,2006.95
ORD000242,USR00045,2020-04-29,1642.11
ORD000243,USR00045,2020-11-03,202.45
ORD000245,USR00046,2020-02-19,575.97
ORD000257,USR00047,2020-10-07,101.58
ORD000260,USR00048,2020-08-06,980.89
ORD000265,USR00050,2020-08-15,3041.38
ORD000269,USR00050,2020-08-16,480.0
ORD000272,USR00051,2020-11-13,1280.82
ORD000273,USR00051,2020-05-19,1113.7
ORD000285,USR00052,2020-03-05,1095.94
ORD000295,USR00055,2020-01-14,2046.9
ORD000296,USR00055,2020-09-09,1714.27
ORD000300,USR00055,2020-09-11,2343.48
ORD000303,USR00056,2020-07-25,3175.37
ORD000304,USR00056,2020-09-17,1745.69
ORD000306,USR00056,2020-08-20,2067.42
ORD000308,USR00057,2020-04-12,1569.48
ORD000315,USR00058,2020-04-23,460.95
ORD000316,USR00058,2020-08-08,921.9
ORD000319,USR00058,2020-07-25,3125.83
ORD000321,USR00058,2020-03-29,857.43
ORD000323,USR00058,2020-07-25,364.98
ORD000331,USR00059,2020-08-07,237.77
ORD000336,USR00060,2020-05-28,2523.33
ORD000338,USR00060,2020-04-10,495.96
ORD000340,USR00061,2020-12-18,1899.51
ORD000341,USR00061,2020-03-28,2412.31
ORD000344,USR00062,2020-02-13,770.0
ORD000346,USR00062,2020-10-24,869.94
ORD000350,USR00062,2020-09-26,2968.63
ORD000353,USR00062,2020-11-03,979.9
ORD000355,USR00063,2020-04-22,89.53
ORD000363,USR00064,2020-04-17,650.96
ORD000364,USR00064,2020-01-26,24.98
ORD000366,USR00064,2020-07-23,1047.99
ORD000368,USR00065,2020-10-23,2325.21
ORD000378,USR00066,2020-01-23,2035.92
ORD000396,USR00069,2020-01-25,458.49
ORD000398,USR00070,2020-10-15,1869.97
ORD000400,USR00070,2020-04-28,912.96
ORD000404,USR00071,2020-11-10,1306.18
ORD000406,USR00072,2020-02-24,1597.9
ORD000408,USR00072,2020-06-06,294.0
ORD000415,USR00073,2020-12-05,203.16
ORD000426,USR00077,2020-04-11,2202.76
ORD000436,USR00078,2020-06-10,1298.72
ORD000438,USR00078,2020-02-28,376.0
ORD000439,USR00078,2020-01-04,892.51
ORD000442,USR00078,2020-05-18,751.16
ORD000448,USR00079,2020-04-24,1204.45
ORD000462,USR00083,2020-06-16,261.0
ORD000465,USR00083,2020-05-24,1308.69
ORD000474,USR00084,2020-12-07,1697.45
ORD000475,USR00085,2020-01-26,769.96
ORD000476,USR00085,2020-10-05,820.28
ORD000478,USR00086,2020-07-26,1087.01
ORD000487,USR00086,2020-03-13,1640.49
ORD000490,USR00087,2020-11-15,1192.88
ORD000492,USR00087,2020-09-27,103.16
ORD000494,USR00087,2020-04-05,1546.32
ORD000495,USR00087,2020-05-09,60.0
ORD000510,USR00090,2020-10-24,2424.27
ORD000516,USR00090,2020-09-18,1518.06
