OrderID,UserID,OrderDate,TotalAmount
ORD000002,USR00001,2021-07-26,2082.44
ORD000008,USR00002,2021-03-11,839.26
ORD000009,USR00002,2021-11-02,410.97
ORD000010,USR00002,2021-06-15,190.95
ORD000013,USR00003,2021-07-17,20.98
ORD000015,USR00004,2021-10-27,147.99
ORD000016,USR00004,2021-08-10,1040.34
ORD000019,USR00005,2021-02-08,238.47
ORD000020,USR00005,2021-02-24,824.36
ORD000022,USR00005,2021-12-09,1658.9
ORD000025,USR00006,2021-02-12,770.14
ORD000033,USR00007,2021-04-05,1687.95
ORD000036,USR00007,2021-08-20,721.23
ORD000043,USR00008,2021-06-06,151.95
ORD000047,USR00009,2021-02-16,1706.98
ORD000057,USR00010,2021-10-07,42.98
ORD000058,USR00011,2021-08-31,1495.08
ORD000064,USR00013,2021-10-07,283.47
ORD000066,USR00013,2021-01-28,122.97
ORD000072,USR00014,2021-10-25,343.47
ORD000076,USR00015,2021-02-24,485.99
ORD000077,USR00015,2021-06-15,1061.32
ORD000078,USR00015,2021-12-24,3640.78
ORD000092,USR00018,2021-10-02,3645.13
ORD000095,USR00018,2021-02-27,1410.91
ORD000102,USR00019,2021-01-23,1210.9
ORD000105,USR00020,2021-04-07,276.84
ORD000113,USR00020,2021-08-31,858.98
ORD000125,USR00023,2021-08-24,919.14
ORD000126,USR00023,2021-12-19,710.94
ORD000128,USR00023,2021-12-02,781.95
ORD000133,USR00023,2021-02-14,1713.95
ORD000134,USR00024,2021-09-24,269.37
ORD000144,USR00026,2021-08-09,320.0
ORD000146,USR00027,2021-01-04,477.94
ORD000161,USR00031,2021-08-03,512.37
ORD000168,USR00032,2021-08-12,119.37
ORD000171,USR00032,2021-10-24,570.87
ORD000174,USR00033,2021-04-02,562.37
ORD000175,USR00033,2021-12-15,579.75
ORD000177,USR00034,2021-12-12,3471.09
ORD000180,USR00034,2021-05-02,1203.44
ORD000189,USR00037,2021-05-29,1083.43
ORD000192,USR00038,2021-01-26,309.84
